file,tags
Managing Comprehension Debt How to Stop Shipping AI Code You Don't Understand,comprehension-debt code-quality
Mapping Business Capabilities to Services,ddd
Master Data Management (MDM),mdm-governance
Master Data Management A Strategic Imperative for Enterprise Data Governance,non-content
Master Data Management Best Practices How to Do It Right,mdm-governance
Master Data Management in a distributed landscape,mdm-governance data-engineering
Master data management strategy The key to getting more from your data,mdm-governance
Matteo Collina's Post,code-review code-quality
Medical Research at the Johns Hopkins Arthritis Center,health
Microsoft accidentally told the truth about AI,ai-industry comprehension-debt
Mitko Vasilev's Post,web-security ai-industry
Multica The Open Source Tool That Makes Claude Code 10x Better,alt-agents harness-engineering agent-skills
Must-Have UXUI Design Skills for Claude Code,ux-ui-design alt-agents
My Claude Code Now Has Its Own Second Brain in Obsidian,pkm-obsidian claude-code-ops
My Favorite Books for DevOps Engineering,non-content
My MDM Framework,mdm-governance
My Simple Productivity System (for normal people)!,productivity
My Telescope for Claude,mcp claude-code-ops
Never Forget A Task or To-Do Again - Obsidian Reminders,pkm-obsidian productivity
New AI coding paradiagm - OpenAI Symphony,alt-agents harness-engineering agent-git
Nordic.js 2025 •Tobias Ahlin - Finding Signal in the AI Noise,multi-agent harness-engineering
Obsidian As A Second Brain The ULTIMATE Tutorial,pkm-obsidian
Oliver Molander's Post,startup
Open Design is Here The Open-Source Claude Code Design Alternative,alt-agents ux-ui-design
Open source voice ai that scales linearly in production at 110th of Vapi's cost,voice-ai cost-optimization
OpenAI Just Showed Us What Comes After the Harness. Here's The Layer Almost Everyone's Missing.,harness-engineering multi-agent agent-git
OpenClaw Is Changing My Life,alt-agents harness-engineering
OpenClaw Setup Guide 25 Tools + 53 Skills Explained,alt-agents agent-skills mcp
OpenCode has been a gamechanger!,alt-agents cost-optimization
Osteoarthritis and bouldering,health
"PI Agent Revolution Building Customizable, Open-Source AI Coding Agents That Outperform Claude Code",alt-agents harness-engineering code-quality
Panel Does AI lead us back to a beautiful document based waterfall approach,spec-driven-dev comprehension-debt
Parallel AI Coding with Git Worktrees and Custom Claude Code Commands,agent-git claude-code-ops harness-engineering
"Parse, don't validate",software-patterns code-quality
Pattern Saga,software-patterns clean-architecture
Perplexity Open-Sourced a Scanner Every Dev Should Know (Bumblebee),web-security code-quality
Pi The Minimal Agent Within OpenClaw,alt-agents harness-engineering
Pi to Pi Two-Way Agent Orchestration with the Pi Coding Agent,alt-agents multi-agent harness-engineering
Playing Nicely With Git Worktrees And DevContainers,agent-git
Practical Guide to Evaluating and Testing Agent Skills,agent-skills evals agent-testing
Programming as Theory Building · GitHub,software-patterns comprehension-debt
Prompting & Context Engineering,context-engineering token-efficiency cost-optimization
Publish App Google Play Store AI Guide Complete Walkthrough,frontend-webapp
Quantifying Productivity,observability productivity
Qwen3 235b-A22b on a Windows Tablet @ ~11.1tS on AMD Ryzen AI Max 395+ 128GB RAM,local-llm
Reader Frequently Asked Questions,non-content
Real Estate Agents Are Wasting 20 Hours a Week. Here's How I Fix It for Them,productivity
Regenerative Medicine Helping the Body Heal Itself,health
Relationships Between Bounded Contexts in DDD-2,ddd clean-architecture
Relationships Between Bounded Contexts in DDD,ddd
